product_type,external_temp,current_room_temp,humidity,volume_kg,packaging_type,storage_time_hr,airflow_rating,ideal_room_temp
curd,41.05,17.55,47.16,98.94,plastic,1.1,good,3.66
ice-cream,33.44,6.31,35.65,96.37,metal,43.6,moderate,-19.28
butter,26.44,18.34,33.39,92.68,glass,53.5,poor,5.92
butter,20.48,2.11,42.3,72.39,tetrapack,34.1,good,5.81
ice-cream,23.0,1.5,57.17,50.63,plastic,54.8,good,-18.11
milk,27.37,7.32,82.83,16.38,metal,67.1,poor,3.37
butter,31.82,19.55,32.22,75.08,glass,35.6,good,6.01
flavored_beverage,22.44,11.88,58.15,88.36,plastic,68.5,good,5.34
butter,26.2,11.87,86.02,66.96,glass,6.7,poor,7.09
ice-cream,29.67,0.21,63.77,66.54,metal,7.0,moderate,-18.41
flavored_beverage,29.31,10.13,46.16,58.22,plastic,65.9,moderate,4.31
curd,37.51,15.54,88.73,81.37,plastic,27.8,poor,4.86
ice-cream,38.6,14.05,53.71,71.48,metal,29.7,good,-17.33
cheese,33.33,18.39,64.79,32.52,metal,23.1,poor,9.76
butter,24.62,15.5,40.53,33.34,tetrapack,49.2,moderate,5.88
butter,21.47,16.82,68.35,4.41,glass,30.8,good,6.73
milk,21.63,17.14,35.6,11.02,tetrapack,61.5,moderate,3.98
cheese,34.6,5.8,32.3,49.17,plastic,70.1,good,8.51
butter,25.78,14.94,50.08,47.99,metal,66.6,good,5.52
butter,27.33,19.31,40.75,98.52,metal,21.0,good,6.63
curd,41.26,1.26,46.75,17.89,metal,53.2,moderate,3.27
milk,39.75,10.81,51.29,89.84,plastic,47.3,poor,2.7
milk,34.14,12.38,37.73,26.62,glass,13.3,poor,2.6
curd,34.71,16.32,79.95,4.15,tetrapack,52.9,good,4.2
ice-cream,44.15,15.05,81.52,37.56,tetrapack,29.6,moderate,-17.09
ice-cream,42.1,13.43,89.95,3.41,glass,25.7,poor,-17.52
curd,23.77,18.19,32.89,54.47,tetrapack,43.2,good,4.65
cheese,44.28,12.23,78.31,51.22,tetrapack,49.7,poor,8.34
curd,41.65,19.77,34.37,7.68,tetrapack,54.6,moderate,5.05
ice-cream,32.47,4.24,75.78,15.92,tetrapack,47.0,moderate,-18.65
flavored_beverage,21.2,4.58,37.39,79.83,metal,27.6,good,4.69
cheese,34.14,11.18,58.2,97.18,tetrapack,23.0,good,10.15
cheese,24.51,15.09,83.64,90.19,tetrapack,25.9,moderate,7.88
milk,24.16,14.07,80.36,66.8,metal,19.3,poor,3.62
ice-cream,23.69,15.25,40.78,9.27,glass,22.0,poor,-18.75
ice-cream,41.19,0.1,47.77,67.26,tetrapack,47.9,moderate,-19.39
ice-cream,28.77,19.7,38.2,23.1,plastic,58.2,poor,-18.0
curd,42.53,15.39,51.87,53.16,tetrapack,57.5,poor,3.72
butter,28.59,4.89,58.86,88.48,plastic,4.6,moderate,5.9
butter,43.93,3.22,80.87,36.61,tetrapack,38.4,good,7.27
curd,29.61,8.62,66.68,62.66,plastic,3.1,poor,4.78
milk,37.59,4.86,69.62,30.38,glass,39.1,good,3.08
curd,34.43,3.43,56.92,53.12,plastic,39.6,good,3.69
butter,31.65,16.64,52.14,53.71,tetrapack,8.4,good,5.42
flavored_beverage,25.01,6.01,35.17,33.68,metal,7.2,moderate,4.1
cheese,35.6,2.04,71.61,2.17,plastic,9.4,poor,8.04
milk,23.4,4.25,83.4,66.31,metal,53.5,poor,2.4
butter,32.92,10.95,32.88,22.86,metal,45.4,moderate,5.67
butter,21.21,18.91,84.68,14.59,metal,35.9,good,6.16
ice-cream,35.78,11.29,65.15,75.76,metal,54.2,moderate,-18.12
milk,21.77,10.92,37.32,18.37,glass,63.5,moderate,2.28
cheese,40.13,4.18,83.74,26.58,metal,61.1,poor,7.38
milk,30.66,9.85,74.54,18.02,glass,31.1,good,4.27
cheese,31.6,17.52,42.03,56.14,tetrapack,41.5,poor,7.74
flavored_beverage,26.33,17.01,71.23,90.5,glass,45.2,moderate,6.24
flavored_beverage,44.75,5.55,86.45,64.12,tetrapack,44.8,good,4.53
butter,27.66,17.77,43.74,1.67,tetrapack,3.4,moderate,6.88
flavored_beverage,23.77,3.07,73.19,9.35,metal,10.1,poor,4.15
cheese,36.9,11.88,56.73,78.06,glass,11.8,moderate,7.29
cheese,30.29,13.87,59.47,54.54,glass,69.2,poor,8.19
milk,27.86,13.58,66.42,35.24,tetrapack,39.7,moderate,2.48
butter,20.28,0.53,35.53,66.08,glass,6.9,good,5.91
flavored_beverage,30.05,0.07,65.23,24.83,tetrapack,32.3,good,5.86
cheese,26.03,10.38,54.68,77.4,metal,16.0,poor,9.31
curd,38.61,12.15,65.68,66.19,tetrapack,21.3,moderate,3.7
curd,20.83,5.16,38.04,8.35,metal,45.9,good,3.15
butter,40.73,6.7,61.37,45.73,tetrapack,6.7,good,6.38
ice-cream,31.72,3.34,40.92,40.78,metal,3.2,good,-18.31
butter,37.69,3.93,56.26,30.13,metal,58.2,good,6.51
ice-cream,38.04,19.67,70.74,28.82,metal,43.7,moderate,-17.76
cheese,20.01,11.26,69.14,41.34,metal,37.2,moderate,9.72
flavored_beverage,44.39,14.08,67.92,78.21,plastic,41.8,poor,4.84
ice-cream,42.9,17.66,38.23,95.83,tetrapack,13.2,poor,-17.96
cheese,40.41,3.05,55.78,90.05,metal,64.4,poor,9.53
milk,41.8,15.16,64.69,91.79,plastic,7.2,poor,2.58
milk,40.92,8.97,36.17,65.55,tetrapack,3.6,good,3.33
flavored_beverage,21.82,3.96,76.09,62.73,glass,41.7,poor,5.26
butter,31.64,4.44,68.05,64.17,tetrapack,4.9,poor,5.23
ice-cream,32.71,0.89,84.95,26.42,tetrapack,52.0,poor,-18.52
milk,26.24,17.86,47.31,58.75,glass,64.8,moderate,2.46
butter,28.15,3.95,54.25,7.6,metal,60.1,good,6.43
flavored_beverage,31.87,14.62,72.99,58.12,glass,57.7,poor,5.37
curd,27.77,10.59,31.63,23.21,glass,2.0,moderate,4.38
milk,35.5,16.79,79.98,3.55,plastic,50.2,good,4.23
ice-cream,38.43,6.75,73.74,48.95,metal,7.6,poor,-17.73
ice-cream,37.98,11.46,52.17,77.11,glass,71.6,good,-17.71
milk,39.67,3.41,56.88,21.2,plastic,48.8,poor,2.79
flavored_beverage,31.84,18.33,88.51,81.25,glass,49.0,good,4.84
milk,30.22,14.26,74.2,47.67,tetrapack,4.5,good,3.98
ice-cream,39.17,17.21,80.48,8.67,metal,49.8,moderate,-18.33
butter,24.79,16.87,70.63,46.44,metal,2.0,poor,5.58
curd,35.0,6.19,31.78,7.29,plastic,40.1,good,4.64
milk,26.7,15.01,74.18,38.24,metal,57.3,good,2.74
cheese,20.78,16.18,81.27,34.8,tetrapack,58.7,good,9.86
curd,30.18,18.04,53.13,54.29,plastic,66.8,moderate,4.75
ice-cream,39.33,1.05,44.3,76.31,plastic,22.2,good,-18.84
cheese,33.96,3.92,32.14,14.32,plastic,50.0,moderate,7.8
flavored_beverage,28.79,14.36,31.45,67.52,tetrapack,62.8,good,4.87
butter,36.86,0.36,54.81,98.64,tetrapack,18.6,poor,5.56
cheese,28.36,6.73,55.75,72.71,metal,67.1,good,9.59
flavored_beverage,35.55,19.39,74.78,22.36,plastic,49.7,good,6.22
curd,33.8,3.89,62.84,60.82,metal,32.9,good,4.84
milk,21.28,3.98,34.6,4.12,plastic,62.0,poor,2.85
milk,42.26,4.06,81.35,74.09,glass,51.8,moderate,3.59
flavored_beverage,39.21,3.46,67.87,12.83,tetrapack,6.8,poor,4.58
cheese,20.03,6.07,77.37,17.66,tetrapack,59.2,moderate,9.75
curd,22.37,16.42,63.39,16.72,metal,31.9,poor,5.23
milk,38.66,2.47,30.93,36.49,tetrapack,49.1,moderate,3.78
curd,25.45,17.28,65.8,84.86,glass,38.5,poor,4.76
flavored_beverage,44.59,11.74,33.18,99.08,tetrapack,20.7,poor,4.93
curd,30.66,1.14,43.89,55.98,tetrapack,60.2,moderate,3.74
butter,32.8,11.92,37.4,41.99,glass,6.4,good,6.31
butter,26.2,4.91,53.0,82.58,glass,36.3,moderate,6.73
flavored_beverage,30.06,18.47,82.48,39.08,glass,48.3,good,5.49
milk,34.56,6.44,80.99,96.26,plastic,41.9,moderate,4.33
flavored_beverage,32.52,6.23,74.57,29.15,tetrapack,36.0,moderate,4.98
butter,37.82,8.07,63.05,95.87,tetrapack,69.5,moderate,5.83
ice-cream,36.19,10.5,77.8,32.95,tetrapack,47.6,poor,-17.22
butter,37.1,17.31,73.96,47.66,tetrapack,58.5,moderate,5.99
cheese,40.59,3.41,88.38,11.31,glass,23.0,poor,8.18
butter,37.74,16.0,33.32,78.93,plastic,44.5,good,6.35
